Company,Faculty,Major,Major Code,Company Address,Latitude,Longitude,Count
Centrix Infotech & Engineering,FCI,Software Engineering,TB08,"No.23, Jalan Berjuntai 3, Pusat Perniagaan Batang Berjuntai, 45600 Batang Berjuntai, Selangor Darul Ehsan",3.378983,101.4096238,1
Code Bridge Sdn. Bhd.,FCI,Data Science,TB09,"Unit C-16-03, Block C, 3 Two Square No. 2, Jalan 19/1, 46300 Petaling Jaya, Selangor, Malaysia",3.1111025,101.6319897,2
Colus Sdn Bhd,FCI,Cybersecurity,TB10,"3-01, Jalan SS 25/35, Taman Mayang, 47301 Petaling Jaya, Selangor",3.1129291,101.5952103,1
Colus Sdn Bhd,FCI,Data Science,TB09,"3-01, Jalan SS 25/35, Taman Mayang, 47301 Petaling Jaya, Selangor",3.1129291,101.5952103,5
Colus Sdn Bhd,FCI,Game Development,TB11,"3-01, Jalan SS 25/35, Taman Mayang, 47301 Petaling Jaya, Selangor",3.1129291,101.5952103,3
Colus Sdn Bhd,FCI,Software Engineering,TB08,"3-01, Jalan SS 25/35, Taman Mayang, 47301 Petaling Jaya, Selangor",3.1129291,101.5952103,3
Colus Sdn Bhd,FCI,Information System,TB13,"3-01, Jalan SS 25/35, Taman Mayang, 47301 Petaling Jaya, Selangor",3.1129291,101.5952103,2
Computrade Technology Malaysia Sdn Bhd,FCI,Information System,TB13,"Unit No.7.1, Level 7, Surian Tower, 1, Jln PJU 7/3, Mutiara Damansara, 47810 Petaling Jaya, Selangor",3.155682,101.6095266,1
Condition Zebra (M) Sdn Bhd,FCI,Cybersecurity,TB10,"Phileo Damansara 1, LEVEL 3-10, BLOCK F, Off, Jln Damansara, 46350 Petaling Jaya, Selangor",3.1362975,101.6303566,1
Creatixa Multimedia Solution,FCI,Data Science,TB09,"04-03, Level 3, Kenwingston Tower, Persiaran Bestari, 63000 Cyberjaya, Selangor, 63000 Selangor, Malaysia",2.9102662,101.6395888,1
Custella Sdn Bhd,FCI,Software Engineering,TB08,"Plaza Glomac, D-12-2, 1st Floor, Jalan SS 7/19, 47301, Selangor",3.0997012,101.5906795,1
Cyber Village Sdn Bhd,FCI,Software Engineering,TB08,"Wisma AmFIRST Jalan SS7/15 (Jalan Stadium)â€‹ 47301 Kelana Jaya, Selangor",3.097276,101.593457,1
CyberSecurity Malaysia,FCI,Cybersecurity,TB10,"Level 7 Tower 1, Menara Cyber Axis, Jalan Impact, 63000 Cyberjaya, Selangor",2.9179298,101.6613092,1
Cybertronium Sdn. Bhd.,FCI,Cybersecurity,TB10,"Suite 15.01 & 15.05, Level 15, Centrepoint North Tower, Mid Valley City, 59200 Kuala Lumpur, Wilayah Persekutuan Kuala Lumpur",3.1183204,101.6771203,1
DATTEL SDN. BHD.,FCI,Data Science,TB09,"Unit 5-9-5, Block 5, VSQ @ PJ City Centre, Jalan Utara, 46200 Petaling Jaya, Selangor Darul Ehsan, Malaysia",3.1071968,101.6399449,1
DHL Information Services (Asia-Pacific) Sdn. Bhd.,FCI,Data Science,TB09,"3509 & 3511, Jalan Teknokrat 5, Cyberjaya, 63000 Cyberjaya, Selangor, Malaysia",2.922245,101.656582,5
DKSH,FCI,Software Engineering,TB08,"DKSH Corporate Shared Services Center Sdn Bhd
 Level 8, Menara KEN TTDI, 37, Jalan Burhanuddin Helmi, Taman Tun Dr Ismail, 60000 Kuala Lumpur, Wilayah Persekutuan Kuala Lumpur",3.1522634,101.6227951,1
DYODD SDN BHD,FCI,Software Engineering,TB08,"PS-2-7, Pelangi Sentral Damansara, PJU 6 Persiaran Surian 47800 Petaling Jaya, Selangor Darul Ehsan.",3.1533951,101.6023434,1
DYODD SDN BHD,FCI,Information System,TB13,"PS-2-7, Pelangi Sentral Damansara, PJU 6 Persiaran Surian 47800 Petaling Jaya, Selangor Darul Ehsan.",3.1533951,101.6023434,1
DZC Marketing,FCI,Software Engineering,TB08,"15(First Floor), Jalan Radin Anum 2, Bandar Baru Sri Petaling, 57000 Kuala Lumpur",3.070951,101.6909629,1
Data Sukan,FCI,Data Science,TB09,"Kompleks Sukan ISN, Stadium Jalan Raja Muda Abdul Aziz, Kampung Bharu, 50300 Kuala Lumpur, Malaysia",3.16843,101.7035899,1
Daythree Business Services Sdn Bhd,FCI,Software Engineering,TB08,"Level 8, Tower 7, UOA Business Park, No 1 Jalan Pengaturcara U1/51A, Seksyen U1, 
 40150 Shah Alam, Selangor Darul Ehsan",3.0862186,101.5887057,1
Deloitte Consulting (SEA) Sdn Bhd,FCI,Data Science,TB09,"Level 12, Menara LGB, No. 1, Jalan Wan Kadir, Taman Tun Dr Ismail, 60000 Kuala Lumpur, Malaysia",3.1378381,101.6295545,1
Digi-x,FCI,Software Engineering,TB08,"Lot 10, Jalan Delima 1/1, Subang Hi-tech Industrial Park, 40000 Subang Jaya, Selangor",3.0685791,101.5705332,1
Dynamic Link Solution,FCI,Cybersecurity,TB10,"C933, Centum Oasis Corporate Park, 47301 Petaling Jaya, Selangor",3.1126479,101.5780985,1
ECO SHOP MARKETING SDN BHD,FCI,Software Engineering,TB08,"No. 2112, Klang Parade, S.01 (2nd Flr, KM2, Jln Meru, 41050 Klang, Selangor",3.0637778,101.4536951,1
EMBASSY OF THE FEDERAL REPUBLIC OF SOMALIA,FCI,Information System,TB13,"32, Jalan Mesra, Off-jalan Damai Ampang, 55000 Malaysia",3.1641241,101.7306059,1
ESRA TECHNOLOGY SDN. BHD.,FCI,Data Science,TB09,"No. 9157 B, Jalan Bandar 4, Taman Melawati, 53100 Kuala Lumpur.",3.2117405,101.751445,1
Ernst & Young Consulting Sdn. Bhd,FCI,Data Science,TB09,"Level 23A Menara Milenium Jalan Damanlela, Pusat Bandar Damansara 50490 Kuala Lumpur, Malaysia",3.1470087,101.662374,2
